Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
JG-1;Concentration;14.24;2.2;;0.38;2.18;1.61;;0.54;0.07;;3.98;;0.74;0.063;3.38;0.099;72.3;0.26;2.21E-03;0.0520289;;7.78E-03;;;;2.18E-02;;5.12E-03;0.014985;99.94;0.034;7.53;0.33;0.00011;6.87;466;3.15;0.5;0.068;216;1.57;0.04;45.8;58.1;4.06;53.2;10.1;2.52;4.14;2.16;0.73;498;1.52;17.8;4.28;1.44;;3.56;0.0165;0.81;0.012;0.044;bdl;3.3;22.4;86.6;0.39;;490;1.75;;2.51;12.4;19.3;7.47;;0.0027;430;25.4;bdl;4.83;bdl;1.24E-06;182;0.000098;bdl;;10.9;0.13;6.53;0.003;;4.62;3.6;184;1.79;0.78;bdl;13.2;;1.03;0.41;3.47;25.2;1.58;30.6;2.47;41.1;111;;;;;52.07;47.93;0.9204;2.40E-09;0.185;5900;;;;;1.3;0.905;12.36;12.8;24.21;12.13;28.82;3.852;7.48;0.0228508;69.15;2.242;30.85;-11.8;14.2;7.3;11.3;10.9;12.7;11.5;;-4.1;bdl;0.000015;;0.00658;0.0399;0.2044;0.2035;2.25E-10;0.3044;;;0.51211;;;;;1.52E-09;9.67;0.0419;32;1.37;25.34;21.21;52.04;;;;2.051;1.24;;;;;0.71131;29.72;70.28;2.365;1.68;0.98;0.88;1.46;1.04;;;0.0705;0.98;0.153;0.79;6.50E-11;0.395;0.332;;86.1;;
JG-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00001;;;;;;;;;;;;;;;;;0.0002;;0.0005;;;;4;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-1;Uncertainty;;;;;;;;;;;;;;;;;;;0.0004025;3.01E-03;;1.01E-03;;;;2.01E-03;;6.97E-04;0.003645;;0.015;;0.07;0.000029;1.25;27;0.53;0.087;;;;0.014;4.7;5.8;0.83;6.9;1.1;1.15;1.22;0.65;0.1;16;;3.1;0.69;0.28;;1.03;0.0052;0.23;;0.0032;;;2.7;8.9;0.12;;;0.39;;;1.3;2.5;2.56;;;;3.1;;0.95;;;9.1;;;;1.6;0.064;0.78;0.0003;;0.56;0.6;17;0.51;0.31;;1.6;;0.055;0.14;0.71;3.7;0.3;2.5;0.73;5.6;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00042;;;;;;;;;;;;;;;;;;;;;;0.00036;;;;;;;;;;;;;;;;;;;0.8;;
JG-1;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;atom%;atom%;;ML STP;;;;;;;atom%;atom%;atom%;atom%;atom%;atom%;atom%;;atom%;;atom%;;atom%;‰;‰;‰;‰;‰;‰;‰;;‰;;ML STP;;;;;;ML STP;;;;;;;;;ML STP;;;ppm;atom%;atom%;atom%;atom%;;;;;pCi/g;;;;;;atom%;atom%;ratio;pCi/g;ACT/R;ACT/R;pCi/g;ACT/R;;;;;;;ML STP;;;;MA;;
JG-1;N;;;;;;;;;;;;;;;;;;;10;47;;59;;;;73;;54;37;;6;;6;5;10;47;6;11;1;3;;14;43;9;46;59;26;37;20;17;38;14;;17;21;8;;21;9;15;2;4;1;;38;21;30;;;11;;;20;31;46;;3;;50;1;14;2;1;70;1;1;;7;10;26;5;;41;9;73;15;21;1;42;;12;13;41;38;4;24;35;54;37;;;;;1;1;1;2;2;2;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;2;2;2;;1;1;1;1;1;1;;;3;;;;;1;1;1;1;1;1;1;1;;;;1;1;;;;;13;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;;4;;
JG-1;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;Not provided by compiler;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;;;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;Provisional value;Provisional value;Provisional value;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;;Not provided by compiler;;;;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;;;Provisional value;Provisional value;;;;;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;Not provided by compiler;;
JG-1A;Concentration;14.3;2.13;;0.51;2;1.36;;0.59;0.12;;3.96;;0.69;0.057;3.39;0.083;72.3;0.25;0.0012719;0.0524755;;2.57E-03;;;;2.21E-02;;4.54E-03;0.01593;99.85;0.023;7.56;0.43;0.00021;3.95;470;3.16;0.43;;295;1.52;0.026;45;65;5.9;17.6;10.6;1.67;4.44;2.57;0.7;439;1.4;16.5;4.08;1.5;;3.59;0.0041;0.82;;0.025;;3.29;21.3;79.5;0.44;;440;0.45;;2.52;11.4;20.4;6.91;;;360;26.4;bdl;5.63;bdl;;178;0.000015;;;11;0.048;6.21;0.0027;;4.53;4.47;187;1.9;0.81;3;12.8;;0.98;0.38;4.69;22.7;12.4;32.1;2.7;36.5;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.71101;;;;;;;;;;;;;;;;;;;;;
JG-1A;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0002;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-1A;Uncertainty;;;;;;;;;;;;;;;;;;;3.90E-04;0.0042427;;6.43E-04;;;;1.42E-03;;2.74E-04;0.001755;;;;0.12;0.00011;1.21;38;0.52;;;;;0.0049;5.1;;1.54;4.4;0.65;0.59;0.73;0.65;0.073;37;;0.7;0.63;;;0.76;;0.16;;;;;2.4;4.5;0.085;;;0.29;;;0.98;2.9;1.9;;;;2.8;;1.62;;;10;;;;;0.018;0.49;;;0.32;0.56;12;0.35;0.16;;1.5;;0.14;0.097;1.09;3.8;3.3;3.8;0.53;2.2;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-1A;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ratio;;;;;;;;;;;;;;;;;;;;;
JG-1A;N;;;;;;;;;;;;;;;;;;;6;37;;30;;;;45;;35;29;;5;;4;6;6;37;5;2;;1;;4;28;3;27;30;15;15;15;11;22;7;;10;10;3;;15;3;11;;3;;;27;11;20;;;7;;;25;23;27;;;;20;2;12;2;;49;2;;;4;4;16;1;;23;10;45;13;15;1;27;;8;6;28;22;7;32;23;35;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
JG-1A;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Not provided by compiler;Recommended value;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;;;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;;;Provisional value;Provisional value;Recommended value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;
JG-2;Concentration;12.47;0.7;;0.33;0.97;0.57;;0.33;0.12;;4.71;;0.037;0.016;3.54;0.002;76.83;0.044;5.73E-04;9.04E-03;;9.31E-04;;;0.0329;2.12E-03;;1.69E-03;0.013176;99.71;0.019;6.6;0.68;0.000059;1.78;81;3.26;0.64;;35;5000;0.004;48.3;;3.62;6.37;6.79;0.49;10.5;6.04;0.1;972;6780;18.6;8.01;1.7;;4.73;0.0033;1.67;;0.021;0.000004;3.91;19.9;42.2;1.22;;120;0.37;;2.63;14.7;26.4;4.35;;;9;31.5;bdl;6.2;bdl;;301;0.000016;;;7;0.057;2.42;0.0105;;7.78;3;17.9;2.76;1.62;3;31.6;;1.55;1.16;11.3;3.78;23;86.5;6.85;13.6;97.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.75856;;;;;;;;;;;;;;;;;;;;;
JG-2;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0002;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-2;Uncertainty;;;;;;;;;;;;;;;;;;;;2.62E-03;;3.05E-04;;;0.0013;4.14E-04;;2.99E-04;0.001458;;;;0.19;;;23.5;0.52;;;;;;5.3;;0.83;2.09;0.88;0.12;2.3;1.88;0.044;104;;0.74;2.13;0.35;;1.3;;0.51;;;;;2.6;3.1;0.14;;;0.16;;;1.4;5.2;3.07;;;;4.1;;1.15;;;12;;;;;0.0065;0.42;;;1.1;0.65;3.5;0.63;0.32;ug/g;2.7;;0.083;0.74;1.6;1.58;7.5;8;2.15;2.4;10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-2;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;%;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-2;N;;;;;;;;;;;;;;;;;;;4;23;;15;;;39;31;;27;25;;5;;4;4;4;23;5;3;;1;;4;24;;20;15;15;7;12;9;16;4;;7;7;4;;13;1;6;;3;2;;24;6;13;;;6;;;19;17;14;;;;17;2;10;2;;39;2;;;2;4;16;1;;20;7;31;14;11;1;22;;7;5;16;7;5;25;18;27;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
JG-2;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;;;Recommended value;Recommended value;;Recommended value;Recommended value;Not provided by compiler;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Provisional value;;;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;;;Provisional value;Provisional value;Recommended value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;
JG-3;Concentration;15.48;3.69;;1.62;3.69;1.83;;0.67;0.17;;2.64;;1.79;0.071;3.96;0.122;67.29;0.48;0.0006923;0.0520289;;3.27E-03;;;;4.48E-02;;5.79E-03;0.01944;99.85;0.029;8.19;0.37;0.00017;2.15;466;1.6;0.05;;120;2.64;0.054;40.3;156;11.7;22.4;1.78;6.81;2.59;1.52;0.9;317;2.58;17.1;2.92;1.06;;4.29;0.0024;0.38;;0.02;0.0000016;2.19;20.6;20.9;0.26;;550;0.45;;2.94;5.88;17.2;14.3;;bdl;530;11.7;bdl;4.7;bdl;;67.3;0.000033;;;54.7;0.08;8.76;;;3.39;1.4;379;0.7;0.46;2;8.28;;0.4;0.24;2.21;70.1;14.1;17.3;1.77;46.5;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.70552;;;;;;;;;;;;;;;;;;;;;
JG-3;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0004;;;0.0002;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-3;Uncertainty;;;;;;;;;;;;;;;;;;;1.87E-05;0.0049126;;5.12E-04;;;;3.43E-03;;4.73E-04;0.00162;;0.0045;;;0.00015;0.058;44;0.29;;;;;;4.8;;1.2;3.5;0.22;1.14;0.53;0.36;0.077;58;;1.5;0.28;0.097;;0.41;;0.16;;;;;2.2;1.6;0.049;;;0.085;;;0.85;1.8;2.2;;;;1.4;;1.24;;;7.3;;;;;;0.55;;;0.44;0.28;29;0.11;0.05;;0.65;;0.0066;0.048;0.41;6.2;2.4;1.5;0.35;3.8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-3;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JG-3;N;;;;;;;;;;;;;;;;;;;4;22;;21;;;;28;;21;21;;4;;3;6;4;22;4;2;;1;;3;19;2;19;21;12;14;11;9;15;4;;6;8;4;;10;1;6;;2;2;;17;6;13;;;6;;;14;15;13;;1;;14;2;9;2;;32;2;;;3;2;8;;;17;6;28;8;10;1;17;;4;5;14;18;4;21;15;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
JG-3;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;Not provided by compiler;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;;;Provisional value;Provisional value;Recommended value;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;
JGb-1;Concentration;17.49;11.9;;4.79;15.06;9.43;;1.28;0.13;;0.24;;7.85;0.189;1.2;0.056;43.66;1.6;1.30E-03;7.18E-03;;8.45E-03;;;;3.87E-02;;1.36E-02;0.004428;99.93;0.024;9.25;1.09;0.00102;4.03;64.3;0.34;0.014;;300;8.51;0.087;8.17;81;60.1;57.8;0.26;85.7;1.56;1.04;0.62;133;10.53;17.9;1.61;1.01;;0.88;0.0042;0.33;;0.05;;2000;3.6;4.59;0.15;;1460;0.59;;8900;3.34;5.47;25.4;;bdl;240;1.92;0.00018;1.13;bdl;;6.87;0.00027;;;1912;0.085;35.8;0.15;;1.49;0.48;327;0.18;0.29;11;0.48;;0.066;0.16;0.13;635;0.81;10.4;1.06;109;32.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.028;0.047;2.04;;0.705285;;;;;;;;;;;;;;;;;;;86;;
JGb-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JGb-1;Uncertainty;;;;;;;;;;;;;;;;;;;0.0004347;1.91E-03;;1.97E-03;;;;4.61E-03;;9.96E-04;9.18E-04;;;;0.058;0.00016;1.35;17.1;0.014;;;;;0.0035;1;;5.8;13.5;0.076;5.6;0.37;0.24;0.052;38;;3.3;0.14;0.39;;0.19;;0.052;;;;;0.56;0.9;0.025;;;0.23;;;1.33;0.83;5.7;;;;0.74;;0.14;;;3;;;;131;0.048;2.1;;;0.19;0.13;39;0.076;0.071;;0.1;;;0.033;0.048;58;;2.4;0.3;8;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JGb-1;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;pCi/g;ACT/R;;;;;;;;;;;;;;;;;;;;;MA;;
JGb-1;N;;;;;;;;;;;;;;;;;;;6;33;;38;;;;48;;38;35;;6;;5;7;6;33;4;4;;3;;6;30;2;37;38;11;32;18;16;26;7;;10;13;5;;16;4;13;;2;;;30;8;24;;;6;;;24;21;37;;1;;15;3;12;2;;38;2;;;8;4;21;2;;26;5;48;12;18;1;20;;3;10;21;33;6;35;27;38;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;2;;;;;;;;;;;;;;;;;;;1;;
